"Id","Cluster","TargetType","Domain","TargetUrl","DR_Est","Cost","RatPDF_Page","Anchor_Text","Pitch","Contact","Priority","Status"
"206","Compress PDF","Resource page","brandeis.edu","https://www.brandeis.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@brandeis.edu OR library@brandeis.edu","P1","Not started"
"207","PDF to Text","Resource page","brandeis.edu","https://www.brandeis.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@brandeis.edu OR library@brandeis.edu","P1","Not started"
"208","PDF to Text","Resource page","brandeis.edu","https://www.brandeis.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@brandeis.edu OR library@brandeis.edu","P1","Not started"
"209","OCR","Resource page","brandeis.edu","https://www.brandeis.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@brandeis.edu OR library@brandeis.edu","P1","Not started"
"210","OCR","Resource page","brandeis.edu","https://www.brandeis.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@brandeis.edu OR library@brandeis.edu","P1","Not started"
"211","Compress PDF","Resource page","rochester.edu","https://www.rochester.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@rochester.edu OR library@rochester.edu","P1","Not started"
"212","Compress PDF","Resource page","rochester.edu","https://www.rochester.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@rochester.edu OR library@rochester.edu","P1","Not started"
"213","PDF to Text","Resource page","rochester.edu","https://www.rochester.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@rochester.edu OR library@rochester.edu","P1","Not started"
"214","PDF to Text","Resource page","rochester.edu","https://www.rochester.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@rochester.edu OR library@rochester.edu","P1","Not started"
"215","OCR","Resource page","rochester.edu","https://www.rochester.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@rochester.edu OR library@rochester.edu","P1","Not started"
"216","OCR","Resource page","rochester.edu","https://www.rochester.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@rochester.edu OR library@rochester.edu","P1","Not started"
"217","Compress PDF","Resource page","case.edu","https://www.case.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@case.edu OR library@case.edu","P1","Not started"
"218","Compress PDF","Resource page","case.edu","https://www.case.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@case.edu OR library@case.edu","P1","Not started"
"219","PDF to Text","Resource page","case.edu","https://www.case.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@case.edu OR library@case.edu","P1","Not started"
"220","PDF to Text","Resource page","case.edu","https://www.case.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@case.edu OR library@case.edu","P1","Not started"
"221","OCR","Resource page","case.edu","https://www.case.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@case.edu OR library@case.edu","P1","Not started"
"222","OCR","Resource page","case.edu","https://www.case.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@case.edu OR library@case.edu","P1","Not started"
"223","Compress PDF","Resource page","lehigh.edu","https://www.lehigh.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@lehigh.edu OR library@lehigh.edu","P1","Not started"
"224","Compress PDF","Resource page","lehigh.edu","https://www.lehigh.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@lehigh.edu OR library@lehigh.edu","P1","Not started"
"225","PDF to Text","Resource page","lehigh.edu","https://www.lehigh.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@lehigh.edu OR library@lehigh.edu","P1","Not started"
"226","PDF to Text","Resource page","lehigh.edu","https://www.lehigh.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@lehigh.edu OR library@lehigh.edu","P1","Not started"
"227","OCR","Resource page","lehigh.edu","https://www.lehigh.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@lehigh.edu OR library@lehigh.edu","P1","Not started"
"228","OCR","Resource page","lehigh.edu","https://www.lehigh.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@lehigh.edu OR library@lehigh.edu","P1","Not started"
"229","Compress PDF","Resource page","northeastern.edu","https://www.northeastern.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@northeastern.edu OR library@northeastern.edu","P1","Not started"
"230","Compress PDF","Resource page","northeastern.edu","https://www.northeastern.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@northeastern.edu OR library@northeastern.edu","P1","Not started"
"231","PDF to Text","Resource page","northeastern.edu","https://www.northeastern.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@northeastern.edu OR library@northeastern.edu","P1","Not started"
"232","PDF to Text","Resource page","northeastern.edu","https://www.northeastern.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@northeastern.edu OR library@northeastern.edu","P1","Not started"
"233","OCR","Resource page","northeastern.edu","https://www.northeastern.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@northeastern.edu OR library@northeastern.edu","P1","Not started"
"234","OCR","Resource page","northeastern.edu","https://www.northeastern.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@northeastern.edu OR library@northeastern.edu","P1","Not started"
"235","Compress PDF","Resource page","bu.edu","https://www.bu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@bu.edu OR library@bu.edu","P1","Not started"
"236","Compress PDF","Resource page","bu.edu","https://www.bu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@bu.edu OR library@bu.edu","P1","Not started"
"237","PDF to Text","Resource page","bu.edu","https://www.bu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@bu.edu OR library@bu.edu","P1","Not started"
"238","PDF to Text","Resource page","bu.edu","https://www.bu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@bu.edu OR library@bu.edu","P1","Not started"
"239","OCR","Resource page","bu.edu","https://www.bu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@bu.edu OR library@bu.edu","P1","Not started"
"240","OCR","Resource page","bu.edu","https://www.bu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@bu.edu OR library@bu.edu","P1","Not started"
"241","Compress PDF","Resource page","georgetown.edu","https://www.georgetown.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@georgetown.edu OR library@georgetown.edu","P1","Not started"
"242","Compress PDF","Resource page","georgetown.edu","https://www.georgetown.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@georgetown.edu OR library@georgetown.edu","P1","Not started"
"243","PDF to Text","Resource page","georgetown.edu","https://www.georgetown.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@georgetown.edu OR library@georgetown.edu","P1","Not started"
"244","PDF to Text","Resource page","georgetown.edu","https://www.georgetown.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@georgetown.edu OR library@georgetown.edu","P1","Not started"
"245","OCR","Resource page","georgetown.edu","https://www.georgetown.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@georgetown.edu OR library@georgetown.edu","P1","Not started"
"246","OCR","Resource page","georgetown.edu","https://www.georgetown.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@georgetown.edu OR library@georgetown.edu","P1","Not started"
"247","Compress PDF","Resource page","tamu.edu","https://www.tamu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@tamu.edu OR library@tamu.edu","P1","Not started"
"248","Compress PDF","Resource page","tamu.edu","https://www.tamu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@tamu.edu OR library@tamu.edu","P1","Not started"
"249","PDF to Text","Resource page","tamu.edu","https://www.tamu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@tamu.edu OR library@tamu.edu","P1","Not started"
"250","PDF to Text","Resource page","tamu.edu","https://www.tamu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@tamu.edu OR library@tamu.edu","P1","Not started"
"251","OCR","Resource page","tamu.edu","https://www.tamu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@tamu.edu OR library@tamu.edu","P1","Not started"
"252","OCR","Resource page","tamu.edu","https://www.tamu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@tamu.edu OR library@tamu.edu","P1","Not started"
"253","Compress PDF","Resource page","ufl.edu","https://www.ufl.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@ufl.edu OR library@ufl.edu","P1","Not started"
"254","Compress PDF","Resource page","ufl.edu","https://www.ufl.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@ufl.edu OR library@ufl.edu","P1","Not started"
"255","PDF to Text","Resource page","ufl.edu","https://www.ufl.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@ufl.edu OR library@ufl.edu","P1","Not started"
"256","PDF to Text","Resource page","ufl.edu","https://www.ufl.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@ufl.edu OR library@ufl.edu","P1","Not started"
"257","OCR","Resource page","ufl.edu","https://www.ufl.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@ufl.edu OR library@ufl.edu","P1","Not started"
"258","OCR","Resource page","ufl.edu","https://www.ufl.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@ufl.edu OR library@ufl.edu","P1","Not started"
"259","Compress PDF","Resource page","uga.edu","https://www.uga.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@uga.edu OR library@uga.edu","P1","Not started"
"260","Compress PDF","Resource page","uga.edu","https://www.uga.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@uga.edu OR library@uga.edu","P1","Not started"
"261","PDF to Text","Resource page","uga.edu","https://www.uga.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@uga.edu OR library@uga.edu","P1","Not started"
"262","PDF to Text","Resource page","uga.edu","https://www.uga.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@uga.edu OR library@uga.edu","P1","Not started"
"263","OCR","Resource page","uga.edu","https://www.uga.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@uga.edu OR library@uga.edu","P1","Not started"
"264","OCR","Resource page","uga.edu","https://www.uga.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@uga.edu OR library@uga.edu","P1","Not started"
"265","Compress PDF","Resource page","indiana.edu","https://www.indiana.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@indiana.edu OR library@indiana.edu","P1","Not started"
"266","Compress PDF","Resource page","indiana.edu","https://www.indiana.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@indiana.edu OR library@indiana.edu","P1","Not started"
"267","PDF to Text","Resource page","indiana.edu","https://www.indiana.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@indiana.edu OR library@indiana.edu","P1","Not started"
"268","PDF to Text","Resource page","indiana.edu","https://www.indiana.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@indiana.edu OR library@indiana.edu","P1","Not started"
"269","OCR","Resource page","indiana.edu","https://www.indiana.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@indiana.edu OR library@indiana.edu","P1","Not started"
"270","OCR","Resource page","indiana.edu","https://www.indiana.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@indiana.edu OR library@indiana.edu","P1","Not started"
"271","Compress PDF","Resource page","msu.edu","https://www.msu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@msu.edu OR library@msu.edu","P1","Not started"
"272","Compress PDF","Resource page","msu.edu","https://www.msu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@msu.edu OR library@msu.edu","P1","Not started"
"273","PDF to Text","Resource page","msu.edu","https://www.msu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@msu.edu OR library@msu.edu","P1","Not started"
"274","PDF to Text","Resource page","msu.edu","https://www.msu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@msu.edu OR library@msu.edu","P1","Not started"
"275","OCR","Resource page","msu.edu","https://www.msu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@msu.edu OR library@msu.edu","P1","Not started"
"276","OCR","Resource page","msu.edu","https://www.msu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@msu.edu OR library@msu.edu","P1","Not started"
"277","Compress PDF","Resource page","oregonstate.edu","https://www.oregonstate.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@oregonstate.edu OR library@oregonstate.edu","P1","Not started"
"278","Compress PDF","Resource page","oregonstate.edu","https://www.oregonstate.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@oregonstate.edu OR library@oregonstate.edu","P1","Not started"
"279","PDF to Text","Resource page","oregonstate.edu","https://www.oregonstate.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@oregonstate.edu OR library@oregonstate.edu","P1","Not started"
"280","PDF to Text","Resource page","oregonstate.edu","https://www.oregonstate.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@oregonstate.edu OR library@oregonstate.edu","P1","Not started"
"281","OCR","Resource page","oregonstate.edu","https://www.oregonstate.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@oregonstate.edu OR library@oregonstate.edu","P1","Not started"
"282","OCR","Resource page","oregonstate.edu","https://www.oregonstate.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@oregonstate.edu OR library@oregonstate.edu","P1","Not started"
"283","Compress PDF","Resource page","wsu.edu","https://www.wsu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@wsu.edu OR library@wsu.edu","P1","Not started"
"284","Compress PDF","Resource page","wsu.edu","https://www.wsu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@wsu.edu OR library@wsu.edu","P1","Not started"
"285","PDF to Text","Resource page","wsu.edu","https://www.wsu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@wsu.edu OR library@wsu.edu","P1","Not started"
"286","PDF to Text","Resource page","wsu.edu","https://www.wsu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@wsu.edu OR library@wsu.edu","P1","Not started"
"287","OCR","Resource page","wsu.edu","https://www.wsu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@wsu.edu OR library@wsu.edu","P1","Not started"
"288","OCR","Resource page","wsu.edu","https://www.wsu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@wsu.edu OR library@wsu.edu","P1","Not started"
"289","Compress PDF","Resource page","arizona.edu","https://www.arizona.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@arizona.edu OR library@arizona.edu","P1","Not started"
"290","Compress PDF","Resource page","arizona.edu","https://www.arizona.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@arizona.edu OR library@arizona.edu","P1","Not started"
"291","PDF to Text","Resource page","arizona.edu","https://www.arizona.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@arizona.edu OR library@arizona.edu","P1","Not started"
"292","PDF to Text","Resource page","arizona.edu","https://www.arizona.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@arizona.edu OR library@arizona.edu","P1","Not started"
"293","OCR","Resource page","arizona.edu","https://www.arizona.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@arizona.edu OR library@arizona.edu","P1","Not started"
"294","OCR","Resource page","arizona.edu","https://www.arizona.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@arizona.edu OR library@arizona.edu","P1","Not started"
"295","Compress PDF","Resource page","uoregon.edu","https://www.uoregon.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@uoregon.edu OR library@uoregon.edu","P1","Not started"
"296","Compress PDF","Resource page","uoregon.edu","https://www.uoregon.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@uoregon.edu OR library@uoregon.edu","P1","Not started"
"297","PDF to Text","Resource page","uoregon.edu","https://www.uoregon.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@uoregon.edu OR library@uoregon.edu","P1","Not started"
"298","PDF to Text","Resource page","uoregon.edu","https://www.uoregon.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@uoregon.edu OR library@uoregon.edu","P1","Not started"
"299","OCR","Resource page","uoregon.edu","https://www.uoregon.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@uoregon.edu OR library@uoregon.edu","P1","Not started"
"300","OCR","Resource page","uoregon.edu","https://www.uoregon.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@uoregon.edu OR library@uoregon.edu","P1","Not started"
"301","Compress PDF","Resource page","ku.edu","https://www.ku.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@ku.edu OR library@ku.edu","P1","Not started"
"302","Compress PDF","Resource page","ku.edu","https://www.ku.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@ku.edu OR library@ku.edu","P1","Not started"
"303","PDF to Text","Resource page","ku.edu","https://www.ku.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@ku.edu OR library@ku.edu","P1","Not started"
"304","PDF to Text","Resource page","ku.edu","https://www.ku.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@ku.edu OR library@ku.edu","P1","Not started"
"305","OCR","Resource page","ku.edu","https://www.ku.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@ku.edu OR library@ku.edu","P1","Not started"
"306","OCR","Resource page","ku.edu","https://www.ku.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@ku.edu OR library@ku.edu","P1","Not started"
"307","Compress PDF","Resource page","miami.edu","https://www.miami.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@miami.edu OR library@miami.edu","P1","Not started"
"308","Compress PDF","Resource page","miami.edu","https://www.miami.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@miami.edu OR library@miami.edu","P1","Not started"
"309","PDF to Text","Resource page","miami.edu","https://www.miami.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@miami.edu OR library@miami.edu","P1","Not started"
"310","PDF to Text","Resource page","miami.edu","https://www.miami.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@miami.edu OR library@miami.edu","P1","Not started"
"311","OCR","Resource page","miami.edu","https://www.miami.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@miami.edu OR library@miami.edu","P1","Not started"
"312","OCR","Resource page","miami.edu","https://www.miami.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@miami.edu OR library@miami.edu","P1","Not started"
